"","symbol","NMF.rank","MMF.localization","SAFE.domain","SAFE.localization","Entrez","BioGRID","HGNC","RefSeq","UniProt","Approved","Suggested.Symbol"
"3333","SEPT8",11,"plasma membrane","1","no prediction",23176,116788,"HGNC:16511","NM_001098811","Q92599",FALSE,"SEPTIN8"
"3334","SEPT9",1,"cell junction","-","-",10801,116015,"HGNC:7323","NM_006640","Q9UHD8",FALSE,"SEPTIN9"
"3335","SERAC1",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",84947,124380,"HGNC:21061","NM_032861","Q96JX3",TRUE,"SERAC1"
"3336","SERBP1",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",26135,117571,"HGNC:17860","NM_001018067","Q8NC51",TRUE,"SERBP1"
"3337","SERPINH1",6,"ER lumen","4","ER lumen",871,107318,"HGNC:1546","NM_004353","P50454",TRUE,"SERPINH1"
"3338","SET",8,"nucleolus","3","splicing speckles, nucleolus",6418,112316,"HGNC:10760","NM_001122821","Q01105",TRUE,"SET"
"3339","SETD1A",19,"miscellaneous","22","chromatin, nucleoplasm",9739,115088,"HGNC:29010","NM_014712","O15047",TRUE,"SETD1A"
"3340","SETD1B",9,"nucleoplasm","22","chromatin, nucleoplasm",23067,116702,"HGNC:29187","NM_001353345","Q9UPS6",TRUE,"SETD1B"
"3341","SETD2",10,"nuclear body","3","splicing speckles, nucleolus",29072,118845,"HGNC:18420","NM_014159","Q9BYW2",TRUE,"SETD2"
"3342","SETD7",17,"microtubule cytoskeleton","15","microtubule cytoskeleton",80854,123332,"HGNC:30412","NM_030648","Q8WTS6",TRUE,"SETD7"
"3343","SETDB1",2,"chromatin","22","chromatin, nucleoplasm",9869,115202,"HGNC:10761","NM_001145415","Q15047",TRUE,"SETDB1"
"3344","SETX",9,"nucleoplasm","22","chromatin, nucleoplasm",23064,116699,"HGNC:445","NM_015046","Q7Z333",TRUE,"SETX"
"3345","SF1",10,"nuclear body","8","paraspeckles",7536,113368,"HGNC:12950","NM_004630","Q15637",TRUE,"SF1"
"3346","SF3A1",10,"nuclear body","22","chromatin, nucleoplasm",10291,115580,"HGNC:10765","NM_005877","Q15459",TRUE,"SF3A1"
"3347","SF3A3",2,"chromatin","3","splicing speckles, nucleolus",10946,116146,"HGNC:10767","NM_006802","Q12874",TRUE,"SF3A3"
"3348","SF3B2",10,"nuclear body","3","splicing speckles, nucleolus",10992,116188,"HGNC:10769","NM_006842","Q13435",TRUE,"SF3B2"
"3349","SF3B3",2,"chromatin","22","chromatin, nucleoplasm",23450,117016,"HGNC:10770","NM_012426","Q15393",TRUE,"SF3B3"
"3350","SFI1",12,"centrosome","10","centrosome",9814,115153,"HGNC:29064","NM_014775","A8K8P3",TRUE,"SFI1"
"3351","SFMBT1",5,"actin cytoskeleton, cytosol","1","no prediction",51460,119553,"HGNC:20255","NM_016329","Q9UHJ3",TRUE,"SFMBT1"
"3352","SFPQ",10,"nuclear body","8","paraspeckles",6421,112319,"HGNC:10774","NM_005066","P23246",TRUE,"SFPQ"
"3353","SFSWAP",10,"nuclear body","3","splicing speckles, nucleolus",6433,112331,"HGNC:10790","NM_004592","Q12872",TRUE,"SFSWAP"
"3354","SFT2D2",7,"endosome, lysosome","1","no prediction",375035,131951,"HGNC:25140","NM_199344","O95562",TRUE,"SFT2D2"
"3355","SFT2D3",14,"Golgi apparatus","9","Golgi apparatus",84826,124284,"HGNC:28767","NM_032740","Q587I9",TRUE,"SFT2D3"
"3356","SFXN1",11,"plasma membrane","-","-",94081,125107,"HGNC:16085","NM_022754","Q9H9B4",TRUE,"SFXN1"
"3357","SFXN2",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",118980,125630,"HGNC:16086","NM_001350989","Q96NB2",TRUE,"SFXN2"
"3358","SFXN4",18,"mitochondrial inner membrane, mitochondrial intermembrane space","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",119559,125645,"HGNC:16088","NM_213649","Q6P4A7",TRUE,"SFXN4"
"3359","SGF29",2,"chromatin","1","no prediction",112869,125213,"HGNC:25156","NM_138414","Q96ES7",TRUE,"SGF29"
"3360","SGMS1",14,"Golgi apparatus","9","Golgi apparatus",259230,129227,"HGNC:29799","NM_147156","Q86VZ5",TRUE,"SGMS1"
"3361","SGO2",9,"nucleoplasm","1","no prediction",151246,127357,"HGNC:30812","NM_152524","Q562F6",TRUE,"SGO2"
"3362","SGPL1",3,"ER membrane","2","mitochondrial outer membrane, peroxisome",8879,114398,"HGNC:10817","NM_003901","O95470",TRUE,"SGPL1"
"3363","SGTA",3,"ER membrane","1","no prediction",6449,112347,"HGNC:10819","NM_003021","O43765",TRUE,"SGTA"
"3364","SH2B2",1,"cell junction","-","-",10603,115850,"HGNC:17381","NM_020979","O14492",TRUE,"SH2B2"
"3365","SH3BP4",1,"cell junction","20","cell junction, plasma membrane",23677,117194,"HGNC:10826","NM_014521","Q9P0V3",TRUE,"SH3BP4"
"3366","SH3BP5",20,"early endosome, recycling endosome","18","endosome, lysosome",9467,114853,"HGNC:10827","NM_004844","O60239",TRUE,"SH3BP5"
"3367","SH3D19",5,"actin cytoskeleton, cytosol","1","no prediction",152503,127448,"HGNC:30418","NM_001009555","Q5HYK7",TRUE,"SH3D19"
"3368","SH3GL1",5,"actin cytoskeleton, cytosol","-","-",6455,112352,"HGNC:10830","NM_003025","Q99961",TRUE,"SH3GL1"
"3369","SH3GL3",7,"endosome, lysosome","18","endosome, lysosome",6457,112354,"HGNC:10832","NM_003027","Q99963",TRUE,"SH3GL3"
"3370","SH3GLB1",7,"endosome, lysosome","1","no prediction",51100,119289,"HGNC:10833","NM_016009","Q9Y371",TRUE,"SH3GLB1"
"3371","SH3KBP1",5,"actin cytoskeleton, cytosol","1","no prediction",30011,119029,"HGNC:13867","NM_031892","Q96B97",TRUE,"SH3KBP1"
"3372","SH3PXD2B",17,"microtubule cytoskeleton","15","microtubule cytoskeleton",285590,130149,"HGNC:29242","NM_017963","A1X283",TRUE,"SH3PXD2B"
"3373","SH3RF1",1,"cell junction","-","-",57630,121673,"HGNC:17650","NM_020870","Q7Z6J0",TRUE,"SH3RF1"
