"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"4555","TMEM231",8368.4,NA,NA,NA,4112.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM231","Q9H6L2"
"4556","NOL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOL6","Q9H6R4"
"4557","EPS8L2",NA,NA,374.98,1206.7,5788.8,298.17,3222.5,19719,7671.3,1724.4,NA,2575.4,17656,11410,15968,8723.5,40662,3964.8,342.89,NA,913.63,373.99,"EPS8L2","Q9H6S3"
"4558","ALG9",1042.2,NA,NA,NA,3256.2,NA,3710.2,NA,NA,NA,1107.6,NA,2629.2,NA,2076.3,NA,1544.7,NA,3250.1,NA,3168.8,NA,"ALG9","Q9H6U8"
"4559","ANTXR1",3331.5,NA,958.09,NA,4588.3,NA,1231.7,NA,524.3,NA,2851.8,NA,677.7,NA,NA,NA,1101.8,NA,124.5,NA,549.21,NA,"ANTXR1","Q9H6X2"
"4560","WDR55",NA,NA,NA,NA,NA,NA,NA,NA,441.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WDR55","Q9H6Y2"
"4561","DCTPP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525.94,NA,NA,NA,NA,NA,NA,NA,1562.2,NA,"DCTPP1","Q9H773"
"4562","SH2D4A",NA,NA,2489.3,NA,2826.5,NA,1242.2,NA,NA,NA,NA,NA,383.1,NA,367.08,NA,3638.3,NA,NA,NA,NA,NA,"SH2D4A","Q9H788"
"4563","AAMDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AAMDC","Q9H7C9"
"4564","DOCK5",NA,NA,1854.2,NA,56.511,NA,228.33,NA,1000.9,NA,991.4,NA,212.43,NA,367.56,NA,5030.3,NA,NA,NA,94.881,NA,"DOCK5","Q9H7D0"
"4565","WDR26",NA,50.33,NA,NA,519.05,NA,NA,NA,928.11,NA,2008.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WDR26","Q9H7D7"
"4566","ATP13A3",2583.5,NA,2376.2,NA,NA,NA,2046.6,NA,NA,NA,427.79,NA,1304,NA,760.38,NA,5957.8,NA,16.083,NA,600.81,NA,"ATP13A3","Q9H7F0"
"4567","VSIR",4721.8,NA,NA,1825.6,2049,NA,10956,NA,2576.9,NA,2213.1,NA,5713.6,NA,3192.1,NA,5409.1,NA,697.39,NA,1564.3,NA,"C10orf54","Q9H7M9"
"4568","MVB12B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVB12B","Q9H7P6"
"4569","IFT22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,NA,"IFT22","Q9H7X7"
"4570","PTGES2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTGES2","Q9H7Z7"
"4571","UBE2Z",NA,NA,NA,NA,NA,NA,5413.4,NA,NA,NA,NA,NA,5398.2,NA,NA,NA,7937.5,NA,NA,NA,11153,NA,"UBE2Z","Q9H832"
"4572","ACAD9",NA,NA,NA,NA,NA,NA,NA,NA,1570.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACAD9","Q9H845"
"4573","METTL7A",228180,119970,11486,36916,132580,63965,270010,108160,90316,31406,40257,59371,71941,24768,772.49,NA,779.36,NA,33594,14549,53448,22122,"METTL7A","Q9H8H3"
"4574","MMRN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.23,691.38,NA,NA,NA,NA,NA,NA,"MMRN2","Q9H8L6"
"4575","CNNM2",NA,NA,NA,1007.9,NA,NA,NA,5156.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CNNM2","Q9H8M5"
"4576","GORASP2",3125.2,NA,NA,NA,5574,NA,4493.3,NA,NA,NA,NA,3654.2,1358,NA,6723.7,NA,4190.1,NA,NA,NA,1625.6,NA,"GORASP2","Q9H8Y8"
"4577","RNF121",2464.4,NA,2002.2,NA,2154,NA,NA,NA,5031.2,NA,2552.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNF121","Q9H920"
"4578","QTRT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QTRTD1","Q9H974"
"4579","WDR54",NA,NA,11914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WDR54","Q9H977"
"4580","ARMT1",NA,NA,NA,NA,NA,NA,632.9,NA,5881.2,NA,1045.3,NA,629.86,NA,1175.2,NA,7073.3,NA,238.1,NA,660.27,NA,"ARMT1","Q9H993"
