"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"234","MYL1",1,1,0,0,0,0,0,0,0,0,0
"235","HPN",1,0,0,0,0,0,0,0,1,0,1
"236","PTMA",1,1,0,0,0,1,1,1,0,0,0
"237","ATP5F1B",1,1,1,1,1,1,1,1,1,1,1
"238","PYGL",1,1,0,1,0,1,0,1,0,0,0
"239","TPM3",1,1,0,1,0,0,1,0,1,1,0
"240","ITGAV",1,1,1,1,0,0,1,1,1,1,0
"241","EPHX1",1,1,1,1,1,0,1,0,0,1,1
"242","P4HB",1,1,0,1,0,0,1,0,0,1,0
"243","CTSD",1,1,1,1,1,1,0,0,0,0,1
"244","CAPN1",1,1,1,1,1,1,1,1,0,1,1
"245","DCN",1,1,0,1,0,0,0,0,0,0,1
"246","PSAP",1,0,0,1,1,0,0,0,0,0,1
"247","PFN1",1,1,1,1,1,0,1,0,1,1,1
"248","APRT",1,1,1,1,1,0,1,1,1,1,1
"249","EPRS1",1,1,1,1,0,1,1,0,0,0,1
"250","LAMB1",1,1,0,1,0,0,0,0,0,0,0
"251","YES1",1,0,0,1,1,0,1,1,0,0,1
"252","LYN",1,1,1,1,1,1,1,1,1,1,1
"253","ANXA6",1,1,1,0,1,0,1,0,1,1,0
"254","SLC3A2",1,1,1,1,1,0,1,1,1,1,1
"255","GUSB",1,0,0,0,0,1,0,0,0,0,0
"256","PFKM",1,1,1,1,1,1,1,1,0,0,0
"257","ELANE",1,1,0,1,1,0,1,1,0,0,1
"258","MMP2",1,0,1,0,0,0,0,0,0,0,0
"259","MME",1,1,0,1,0,1,0,0,0,0,1
"260","ITGA2B",1,0,1,1,0,1,1,0,0,0,1
"261","PLEK",1,0,0,1,0,1,0,1,1,0,1
"262","CYC1",1,0,0,1,1,1,0,0,0,0,1
"263","PTPRC",1,1,1,0,1,1,1,1,1,1,1
"264","MELTF",1,1,1,1,1,1,1,0,1,1,1
"265","HCK",1,1,1,1,1,1,1,1,1,1,1
"266","ITGA5",1,1,1,1,1,0,1,1,1,1,1
"267","RPS17",1,1,1,1,1,1,0,1,0,0,1
"268","GNAI3",1,1,1,1,1,1,1,1,1,1,1
"269","ANXA5",1,1,0,0,1,0,1,1,1,1,1
"270","RPSA",1,0,1,1,1,1,1,0,1,1,1
"271","CD63",1,0,1,0,1,0,1,1,0,1,1
"272","ACAA1",1,1,1,1,1,1,0,0,0,0,1
"273","GSTP1",1,1,0,1,0,1,1,0,1,1,0
"274","LGALS1",1,1,0,0,0,0,1,1,1,1,0
"275","HMGB1",1,0,1,1,0,0,0,1,0,0,1
"276","RBP1",1,1,0,0,0,0,1,1,1,0,1
"277","FBP1",1,1,0,1,1,1,0,1,1,1,0
"278","SPARC",1,1,0,0,0,0,0,0,0,0,0
"279","ANXA4",1,1,1,0,1,1,1,1,1,1,1
"280","CNP",1,0,1,1,1,1,1,1,1,1,1
"281","PDGFRB",1,1,1,1,0,1,1,0,0,1,0
"282","DLD",1,1,0,1,0,1,0,0,0,0,1
"283","HNRNPA1",1,1,1,1,1,0,1,0,1,1,1
"284","TACSTD2",1,1,0,1,1,0,1,1,1,1,1
"285","PARP1",1,0,1,0,1,1,0,0,0,0,0
"286","IFIT1",1,0,0,0,1,0,0,0,0,0,0
"287","LTA4H",1,1,1,1,1,1,1,1,1,1,1
"288","ALDOC",1,0,0,0,1,0,0,0,0,0,1
"289","SULT1A3",1,1,1,1,1,0,1,0,0,0,0
"290","RRAS",1,1,1,1,1,1,0,1,1,1,1
"291","HLA-C",1,1,1,1,1,1,1,1,1,1,1
"292","DLAT",1,0,0,1,1,0,0,0,0,0,1
"293","PTPRF",1,1,1,0,1,1,1,0,1,0,0
"294","TXN",1,0,1,1,1,0,1,1,1,0,0
"295","MGST1",1,0,1,1,1,1,1,0,0,1,0
"296","PRKAR1A",1,1,1,1,1,1,1,1,0,1,1
"297","HSPD1",1,1,1,1,1,1,1,1,0,1,0
"298","SLC2A1",1,1,1,1,0,1,1,0,1,1,1
"299","SLC2A3",1,1,0,1,1,1,1,1,1,0,1
"300","EPB41",1,1,1,1,1,1,1,1,1,1,1
"301","ITGAM",1,1,1,1,1,1,1,1,1,1,1
"302","RALA",1,1,1,1,1,1,1,1,1,1,0
"303","RALB",1,1,1,0,1,1,1,1,0,1,1
"304","BCR",1,0,1,1,0,1,0,1,0,1,0
"305","SPTB",1,1,1,0,0,1,1,1,0,1,0
"306","LAMP1",1,0,1,1,1,1,1,1,0,1,1
"307","G6PD",1,0,0,1,1,0,1,0,0,0,1
"308","CETP",1,0,1,0,0,0,0,1,1,0,1
"309","IGF2R",1,0,0,1,1,0,0,0,0,0,1
"310","ADH5",1,1,1,1,1,1,1,1,0,1,1
"311","PABPC1",1,1,1,1,1,1,1,1,0,1,1
"312","COL6A2",1,1,1,1,1,1,1,1,1,1,0
"313","SLC25A6",1,1,1,1,1,1,1,0,1,1,1
"314","PIP",1,0,1,1,0,0,1,0,1,1,1
"315","FCGR1A",1,1,0,1,1,1,0,1,1,1,1
"316","ANXA3",1,1,1,0,1,1,1,1,1,1,1
"317","RNASE3",1,1,1,1,1,1,1,0,0,0,0
"318","CDH1",1,0,0,0,0,0,1,0,1,0,1
"319","MYH7",1,1,0,0,0,0,0,0,0,0,0
"320","PEPD",1,0,0,1,1,1,0,1,0,0,1
"321","XRCC6",1,1,0,1,1,0,1,0,0,1,1
"322","XRCC5",1,1,0,0,0,0,0,0,0,0,0
"323","RNH1",1,1,0,1,1,0,1,1,1,1,1
"324","CYBA",1,1,0,1,1,1,1,1,0,1,1
"325","NCAM1",1,0,0,0,0,0,0,1,0,0,0
"326","VCAN",1,0,1,0,1,0,1,0,0,0,0
"327","PDIA4",1,1,1,1,1,1,1,1,0,1,1
"328","P4HA1",1,1,1,1,1,1,0,0,0,1,1
"329","HLA-E",1,0,1,0,0,1,0,1,0,0,0
"330","APEH",1,0,0,1,1,0,1,0,0,0,0
"331","GYS1",1,0,1,0,1,0,0,1,0,0,0
"332","PRKAR2A",1,1,1,1,1,1,1,1,0,0,1
"333","CD59",1,1,1,1,1,1,1,1,1,1,1
"334","FOLR2",1,1,1,1,1,1,1,1,1,1,1
"335","CD99",1,1,1,1,1,1,1,1,1,1,0
"336","PRKCSH",1,1,1,1,1,1,1,0,0,1,0
"337","CPM",1,1,0,1,0,0,0,1,0,0,0
"338","AKR1A1",1,1,1,1,1,1,1,1,0,1,1
"339","HSP90B1",1,1,0,0,1,0,1,0,0,1,0
"340","SNRPB",1,0,0,0,1,0,0,0,0,0,0
"341","MMP9",1,1,1,1,0,0,0,0,0,0,1
"342","HNRNPL",1,0,1,0,0,1,0,0,0,0,0
"343","DARS1",1,1,1,1,1,1,1,0,1,1,1
