"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"1335","ACSL5",1,0,0,1,0,1,0,0,0,0,0
"1336","CORO1C",1,0,1,1,0,1,1,0,0,0,0
"1337","TMCO1",1,0,1,1,1,1,0,0,0,0,1
"1338","PACSIN2",1,0,1,1,0,1,1,0,0,0,1
"1339","SNX6",1,0,1,1,0,1,1,1,0,0,0
"1340","STX8",1,0,1,0,0,1,0,0,0,0,1
"1341","PSMD13",1,0,0,0,0,1,0,1,0,0,1
"1342","PROCR",1,1,1,1,0,1,1,0,1,1,1
"1343","MACF1",1,0,0,1,1,1,0,0,0,0,0
"1344","BAIAP2",1,1,1,1,1,1,1,1,1,1,0
"1345","RUVBL2",1,0,0,0,1,0,0,1,0,0,1
"1346","EIF3L",1,0,1,1,1,0,1,0,0,0,1
"1347","RUVBL1",1,0,1,1,1,1,0,1,0,0,1
"1348","VDAC3",1,1,0,1,1,1,0,0,0,0,1
"1349","VSIG4",1,0,1,0,0,1,1,0,0,1,0
"1350","ERGIC3",1,0,0,1,0,0,0,0,0,0,0
"1351","SIGLEC7",1,1,0,1,0,0,1,1,0,0,1
"1352","ITM2B",1,1,1,1,1,1,0,0,0,0,1
"1353","NCKAP1",1,1,1,1,1,1,1,1,1,1,1
"1354","CNPY2",1,1,0,0,1,1,0,0,0,0,1
"1355","POFUT2",1,0,0,0,0,0,0,0,0,0,0
"1356","EPB41L3",1,1,1,1,1,1,1,1,1,1,1
"1357","SLC27A6",1,0,0,0,0,0,0,0,0,0,0
"1358","GSTK1",1,1,1,1,0,1,0,1,0,0,1
"1359","NOP58",1,0,1,0,0,1,0,0,0,0,0
"1360","DERA",1,1,1,1,1,1,0,1,1,0,1
"1361","LSM2",1,0,0,0,0,0,0,1,0,0,0
"1362","CAB39",1,1,1,1,1,1,1,1,1,1,1
"1363","DHRS7",1,1,1,0,1,1,0,0,0,0,0
"1364","TMED5",1,1,1,1,1,1,0,0,0,0,1
"1365","TMED7",1,1,1,1,1,1,0,0,0,0,0
"1366","GOLT1B",1,1,1,1,1,1,0,1,0,0,1
"1367","PTRH2",1,0,0,0,0,0,0,0,0,0,0
"1368","STRAP",1,0,0,1,1,1,1,0,0,0,1
"1369","RTCB",1,0,1,0,0,1,0,1,0,0,0
"1370","RAP2C",1,1,1,1,0,0,1,1,1,1,1
"1371","SAMHD1",1,0,0,1,0,0,0,0,0,0,0
"1372","DAAM1",1,0,0,0,1,0,0,0,0,0,1
"1373","FARP1",1,0,0,0,0,0,0,0,0,0,0
"1374","HYOU1",1,1,1,1,0,1,1,1,0,1,0
"1375","LAS1L",1,0,0,0,0,1,0,0,0,0,1
"1376","SRPRB",1,1,1,1,1,1,1,0,0,0,1
"1377","CDC42BPB",1,1,0,1,1,0,1,0,0,0,1
"1378","IER3IP1",1,0,1,1,0,0,0,0,0,0,1
"1379","F11R",1,1,1,1,1,1,1,1,1,1,1
"1380","GPC6",1,1,0,1,1,0,0,0,0,1,0
"1381","NPTN",1,1,1,1,1,0,1,1,1,1,1
"1382","SLC12A7",1,1,0,0,1,0,0,1,1,0,1
"1383","COPG1",1,1,1,1,1,1,1,1,0,0,1
"1384","CLIC4",1,1,1,0,0,1,1,1,1,1,1
"1385","EMILIN1",1,1,1,1,1,1,1,1,1,1,0
"1386","MTCH2",1,0,0,1,1,1,0,0,0,0,1
"1387","STK24",1,0,0,1,0,1,1,1,0,1,1
"1388","SLC30A1",1,1,0,0,1,1,1,0,0,1,1
"1389","SLC4A7",1,0,0,0,0,0,0,0,0,0,1
"1390","NDUFB9",1,1,1,1,0,1,0,0,0,0,1
"1391","WASF2",1,1,1,1,1,0,1,1,1,0,1
"1392","SEC23IP",1,0,1,0,1,1,0,0,0,0,0
"1393","IGKV2-24",0,1,0,0,1,0,0,0,0,0,0
"1394","IGHV3-15",0,1,0,0,0,0,0,0,0,0,0
"1395","IGLC7",0,1,0,0,0,0,0,0,0,0,0
"1396","UPK3BL1",0,1,0,0,1,0,0,1,1,0,1
"1397","LST1",0,1,0,1,0,0,0,0,1,0,1
"1398","AGRN",0,1,1,1,1,0,0,0,0,0,0
"1399","TPP1",0,1,0,1,0,0,0,0,1,1,0
"1400","PPP1R12A",0,1,1,0,0,1,1,0,0,0,0
"1401","ATP2A1",0,1,0,1,0,0,0,0,0,0,0
"1402","EEF1E1",0,1,0,0,1,0,0,1,0,0,1
"1403","PROM1",0,1,0,0,0,1,0,1,0,1,1
"1404","LY75",0,1,0,0,0,1,0,0,1,0,0
"1405","PLIN3",0,1,1,1,0,1,0,0,0,0,1
"1406","LILRB3",0,1,0,0,0,0,0,0,0,1,0
"1407","ROCK2",0,1,0,1,1,0,1,0,0,0,1
"1408","NDUFS2",0,1,0,1,0,0,0,0,0,0,0
"1409","PDCD6",0,1,1,1,1,0,0,0,0,1,1
"1410","VPS26A",0,1,0,0,0,1,1,1,0,0,0
"1411","NDUFS3",0,1,1,1,0,1,0,0,0,0,1
"1412","DYSF",0,1,0,1,0,0,0,0,0,0,0
"1413","IPO7",0,1,0,1,0,1,0,1,0,0,0
"1414","CDS2",0,1,1,0,0,1,0,0,0,0,0
"1415","OXSR1",0,1,1,1,1,0,1,0,0,0,1
"1416","ALDH1A1",0,1,0,0,1,0,1,0,1,1,1
"1417","F13A1",0,1,0,0,1,0,0,0,1,0,1
"1418","P01715",0,1,0,0,0,0,0,0,0,0,0
"1419","SLC4A1",0,1,0,0,0,0,1,1,1,1,0
"1420","MT2A",0,1,0,0,1,0,1,0,1,1,1
"1421","ANXA1",0,1,0,0,0,0,0,1,0,1,1
"1422","HLA-A",0,1,0,0,0,0,1,0,1,1,0
"1423","ERBB2",0,1,1,1,1,1,1,0,0,1,1
"1424","SERPINB2",0,1,0,1,1,0,0,0,1,0,1
"1425","SLC25A5",0,1,0,0,1,0,0,0,0,0,0
"1426","CD2",0,1,0,0,0,0,0,0,1,0,0
"1427","GPI",0,1,0,0,0,1,1,0,0,1,0
"1428","LDHB",0,1,0,0,0,1,1,0,0,1,0
"1429","CD55",0,1,0,1,1,0,1,1,0,0,1
"1430","CTSG",0,1,0,1,1,0,0,0,0,0,1
"1431","FCGR3A",0,1,0,0,0,0,0,0,0,0,0
"1432","FGR",0,1,0,1,0,0,0,0,1,0,0
"1433","HSPA1A",0,1,0,0,0,0,1,0,0,1,0
"1434","P0DP25",0,1,0,0,0,0,0,0,0,0,0
"1435","HSPA5",0,1,0,0,1,0,0,0,0,1,1
"1436","PYGB",0,1,0,0,0,1,1,0,1,0,0
"1437","COL6A1",0,1,0,0,0,0,0,0,0,1,0
"1438","F5",0,1,0,1,1,0,0,0,0,0,0
"1439","FCGR2A",0,1,0,0,0,0,0,0,1,0,0
"1440","COX4I1",0,1,1,1,1,1,0,0,0,0,1
"1441","LAMP2",0,1,1,1,0,0,1,1,1,1,0
"1442","ITGA4",0,1,0,0,0,0,0,0,1,0,0
"1443","EEF2",0,1,0,0,0,0,1,0,0,1,1
"1444","CEACAM1",0,1,0,0,0,0,1,0,0,0,0
"1445","PLS3",0,1,0,0,1,0,1,1,1,1,0
"1446","IL1R1",0,1,0,0,0,0,0,0,0,0,0
"1447","GLUL",0,1,0,0,1,0,1,1,0,1,1
"1448","ANPEP",0,1,1,0,0,1,1,1,1,1,0
"1449","PDGFRA",0,1,0,0,0,0,1,0,0,0,0
"1450","VCL",0,1,0,0,0,0,1,1,1,1,0
"1451","AZU1",0,1,0,1,0,0,1,0,0,0,0
"1452","RAB6A",0,1,0,1,0,0,1,1,0,0,0
"1453","CFL1",0,1,0,0,0,0,1,0,1,1,0
"1454","PSMA1",0,1,0,0,1,0,0,0,0,1,1
"1455","YWHAQ",0,1,0,1,0,0,1,0,0,1,0
"1456","EEF1D",0,1,1,1,1,1,1,0,0,0,1
"1457","BLVRB",0,1,1,1,1,1,1,1,0,1,0
"1458","FCER1G",0,1,1,1,1,0,1,1,1,0,1
"1459","CASQ1",0,1,0,0,0,0,0,0,0,0,0
"1460","YWHAB",0,1,0,0,0,1,1,0,1,1,0
"1461","L1CAM",0,1,0,0,0,0,0,0,0,0,0
"1462","SPR",0,1,1,1,1,1,1,1,0,0,0
"1463","ACTR1B",0,1,1,1,0,0,0,1,0,0,0
"1464","GRK6",0,1,0,0,0,1,1,0,0,0,0
"1465","CRKL",0,1,0,1,0,1,1,0,0,1,0
"1466","UTRN",0,1,0,0,0,1,1,0,0,0,0
"1467","ALDH1A3",0,1,1,1,1,1,1,0,0,0,1
"1468","QARS1",0,1,0,1,1,1,0,1,0,0,0
"1469","RGS19",0,1,0,1,0,0,0,0,0,0,0
"1470","RAB13",0,1,1,1,0,0,1,0,0,0,0
"1471","RAB27A",0,1,0,0,0,1,0,0,0,0,0
"1472","VCP",0,1,0,1,1,0,1,0,0,1,0
"1473","CDH11",0,1,0,0,0,1,1,0,0,0,0
"1474","BID",0,1,0,1,0,1,0,0,0,0,0
"1475","EIF4A1",0,1,0,1,0,0,1,0,1,1,1
"1476","RPS20",0,1,1,1,1,0,1,0,1,1,1
"1477","B2M",0,1,0,1,0,0,1,0,0,1,0
"1478","HNRNPK",0,1,0,1,1,0,1,0,1,1,1
"1479","YWHAE",0,1,0,1,0,0,1,0,1,1,0
"1480","FKBP1A",0,1,0,0,1,0,0,0,0,1,0
"1481","RACK1",0,1,0,1,0,0,1,0,0,1,1
"1482","PPP2CA",0,1,1,0,1,1,1,1,1,0,1
"1483","TPM4",0,1,0,0,0,0,1,0,0,1,1
"1484","PAFAH1B2",0,1,1,1,1,1,1,1,1,1,1
"1485","LCN2",0,1,1,1,1,1,0,0,0,0,0
"1486","BASP1",0,1,0,1,1,1,0,0,0,1,1
"1487","ARF1",0,1,0,1,0,0,1,0,0,1,0
"1488","DAB2",0,1,1,0,0,1,1,0,0,0,0
"1489","CYCS",0,1,0,0,1,0,0,1,0,0,0
"1490","HDLBP",0,1,1,0,0,1,1,0,0,0,0
"1491","ANK2",0,1,0,0,0,0,0,0,0,0,0
"1492","PFKP",0,1,0,0,0,0,1,0,0,0,1
"1493","ROR2",0,1,1,1,0,1,1,0,0,0,1
"1494","TAGLN",0,1,1,1,1,1,1,0,0,0,0
"1495","RHAG",0,1,1,1,0,1,1,0,0,1,1
"1496","PRKCD",0,1,0,1,0,0,0,0,0,0,0
"1497","PAK2",0,1,0,0,0,1,1,1,0,0,0
"1498","MSLN",0,1,0,0,1,1,1,0,1,1,0
"1499","TUBB3",0,1,1,0,1,0,0,1,0,0,1
"1500","IQGAP2",0,1,0,1,0,1,0,0,0,0,1
"1501","RAB31",0,1,1,0,0,0,1,0,0,0,0
"1502","SEPTIN6",0,1,0,1,0,0,0,0,0,0,1
"1503","DPYSL3",0,1,0,1,1,0,1,1,1,1,1
"1504","DCTN1",0,1,1,1,1,0,1,1,0,0,1
"1505","PTPRCAP",0,1,0,1,0,1,0,0,0,0,1
"1506","CUL7",0,1,0,1,0,0,0,0,0,0,0
"1507","EEA1",0,1,0,0,1,0,1,0,0,0,0
"1508","PLEC",0,1,0,1,0,0,1,0,1,0,0
"1509","STK38",0,1,0,0,0,0,0,0,0,0,0
"1510","SF3A1",0,1,0,0,0,0,0,0,0,0,0
"1511","CDC37",0,1,1,0,1,1,0,1,0,1,1
"1512","C3AR1",0,1,0,0,0,0,0,0,0,0,0
"1513","H2AC18",0,1,0,0,0,0,0,0,0,0,0
"1514","TUBB8",0,1,0,1,1,0,1,0,1,1,1
"1515","TMEM198",0,1,0,0,0,0,0,0,0,0,0
"1516","ERAP2",0,1,0,0,0,0,0,0,0,0,1
"1517","C16orf46",0,1,0,0,0,1,0,0,0,0,0
"1518","TUBA1A",0,1,0,1,0,0,1,0,1,1,1
"1519","EIF3M",0,1,1,0,0,0,0,1,0,0,1
"1520","VTCN1",0,1,0,0,1,0,1,1,0,0,1
"1521","FAM114A1",0,1,1,0,0,1,0,0,0,0,0
"1522","CADM3",0,1,0,1,0,0,0,0,0,0,0
"1523","LRRC25",0,1,0,1,1,0,0,0,1,1,1
"1524","SFRP1",0,1,0,0,0,0,0,0,0,0,0
"1525","GOLM1",0,1,0,1,0,0,0,0,0,0,0
"1526","SERBP1",0,1,1,0,0,1,1,1,0,0,1
"1527","TSPAN14",0,1,1,1,1,1,1,1,1,1,1
"1528","GIPC2",0,1,0,0,1,0,0,1,0,1,1
"1529","BRK1",0,1,0,1,1,1,1,0,0,0,1
"1530","ELMO1",0,1,0,0,0,0,0,0,0,0,1
"1531","SEPTIN8",0,1,1,1,1,1,1,1,0,0,0
"1532","HAS1",0,1,1,0,0,1,1,0,0,1,0
"1533","NEO1",0,1,0,1,0,0,0,0,0,0,0
"1534","OSTF1",0,1,0,1,1,0,0,1,0,0,0
"1535","ARHGEF1",0,1,0,0,0,1,0,0,0,0,0
"1536","MYDGF",0,1,0,1,0,0,0,0,0,0,0
"1537","IGSF8",0,1,0,0,0,0,0,1,0,0,0
"1538","MRGPRF",0,1,0,1,0,1,1,0,0,0,1
"1539","EFHD2",0,1,0,1,0,0,1,0,0,0,0
"1540","ELMO2",0,1,0,0,0,0,1,0,0,0,0
"1541","LRATD2",0,1,0,1,1,0,0,1,0,0,0
"1542","MUC4",0,1,0,0,1,0,1,1,1,0,1
"1543","SDHC",0,1,0,0,0,0,0,0,0,0,0
"1544","TMEM109",0,1,1,1,0,1,1,0,0,1,1
"1545","TPPP3",0,1,1,1,0,0,1,0,0,0,1
"1546","HYCC1",0,1,1,1,0,1,1,0,0,0,0
"1547","CTDSP1",0,1,1,1,1,1,1,1,0,0,1
"1548","EPS8L2",0,1,1,1,1,0,1,1,1,0,1
"1549","APMAP",0,1,1,1,1,0,0,0,1,0,0
"1550","PLSCR4",0,1,0,1,1,1,1,0,0,0,1
"1551","CDC42SE1",0,1,0,0,0,0,0,1,0,0,0
"1552","FLRT3",0,1,0,0,0,0,1,0,0,0,0
"1553","SEPTIN10",0,1,1,1,0,1,1,0,0,0,0
"1554","TENM3",0,1,0,0,0,1,0,0,0,0,0
"1555","DPM3",0,1,0,1,1,0,0,0,0,0,1
"1556","GRHPR",0,1,1,1,1,1,1,1,0,1,1
"1557","ADD3",0,1,1,1,0,0,1,0,0,0,1
"1558","NDUFA12",0,1,1,1,0,0,0,0,0,0,1
"1559","MSRA",0,1,0,1,0,0,1,0,0,0,0
"1560","MYH2",0,1,0,0,0,0,0,0,0,0,0
"1561","DNPEP",0,1,0,1,1,1,0,1,0,0,0
"1562","HEG1",0,1,1,1,1,1,1,0,0,1,1
"1563","TTC7A",0,1,0,0,0,0,1,0,0,0,0
"1564","PYCARD",0,1,1,1,1,1,1,0,1,0,0
"1565","FZD1",0,1,0,0,0,0,0,0,0,0,0
"1566","FLVCR2",0,1,0,0,0,0,0,0,0,0,0
"1567","CEP164",0,1,1,1,0,0,0,0,0,0,0
"1568","MYRF",0,1,0,0,0,0,1,0,0,0,0
"1569","SIGLEC9",0,1,0,0,0,1,0,1,1,0,1
"1570","SH3GLB1",0,1,1,0,0,1,1,0,0,0,0
"1571","GPSM3",0,1,0,0,0,0,0,0,0,0,1
"1572","UBA6",0,0,1,0,1,1,0,0,0,0,0
"1573","LGALS8",0,0,1,0,0,0,0,0,0,0,0
"1574","DNM1L",0,0,1,0,1,0,0,1,0,0,0
"1575","BTN3A3",0,0,1,1,0,1,1,0,1,0,0
"1576","NDUFA4",0,0,1,0,0,0,0,0,0,0,0
"1577","KRIT1",0,0,1,1,0,1,1,0,0,0,1
"1578","VWA5A",0,0,1,0,0,1,0,0,0,0,0
"1579","PLPP1",0,0,1,1,0,1,1,0,0,0,0
"1580","PLPP3",0,0,1,1,0,0,0,0,0,0,0
"1581","HSD17B6",0,0,1,0,0,0,0,0,0,0,0
"1582","TAX1BP3",0,0,1,1,1,0,1,0,0,1,1
"1583","UBE2L6",0,0,1,0,0,0,0,0,1,0,0
"1584","GAK",0,0,1,0,0,1,0,0,0,0,0
"1585","CLIC2",0,0,1,1,0,1,0,0,0,0,0
"1586","DYNC1LI2",0,0,1,1,0,1,0,0,0,0,0
"1587","HSPA12A",0,0,1,1,0,1,1,0,1,0,0
"1588","AKR7A2",0,0,1,1,1,1,1,0,1,1,0
"1589","DNPH1",0,0,1,1,0,0,0,1,0,0,1
"1590","GSTZ1",0,0,1,0,0,0,0,0,0,0,0
"1591","AP1G1",0,0,1,0,1,1,0,0,0,0,0
"1592","SNX3",0,0,1,0,0,0,0,0,0,0,0
"1593","DOK2",0,0,1,0,0,0,0,0,0,0,0
"1594","KPNA6",0,0,1,0,0,0,1,1,0,0,0
"1595","SF3B1",0,0,1,0,1,0,0,0,0,0,0
"1596","PRKRA",0,0,1,0,0,1,0,0,0,0,0
"1597","MPDZ",0,0,1,0,0,1,1,0,0,0,0
"1598","GFPT2",0,0,1,0,0,0,1,0,0,0,0
"1599","SEC24D",0,0,1,0,0,1,0,0,0,0,0
"1600","ABCA8",0,0,1,1,0,1,1,0,0,0,0
"1601","CELF2",0,0,1,0,0,1,0,0,0,0,0
"1602","AHSA1",0,0,1,1,1,1,0,1,0,0,0
"1603","SEC24B",0,0,1,0,1,1,0,0,0,0,0
"1604","RIGI",0,0,1,0,0,0,0,0,1,0,0
"1605","ADA",0,0,1,1,0,1,0,1,0,0,0
"1606","CA2",0,0,1,1,0,1,0,0,0,1,1
"1607","VWF",0,0,1,0,0,0,0,0,0,0,0
"1608","TUBB4A",0,0,1,0,1,0,0,0,0,0,0
"1609","SLC4A2",0,0,1,0,0,1,0,0,0,0,0
"1610","GYPC",0,0,1,1,0,0,1,0,0,1,1
"1611","RPLP2",0,0,1,0,1,0,0,0,1,1,1
"1612","H2BC3",0,0,1,1,0,0,1,1,0,1,0
"1613","GPX1",0,0,1,0,0,0,0,0,1,0,1
"1614","CTSB",0,0,1,1,0,0,0,0,0,0,0
"1615","COL1A2",0,0,1,0,0,0,0,0,0,0,0
"1616","ABCB1",0,0,1,0,0,1,0,0,0,0,0
"1617","RAP2A",0,0,1,1,0,0,0,0,0,0,0
"1618","MBL2",0,0,1,0,1,0,0,0,0,0,1
"1619","ANXA8",0,0,1,1,0,0,1,0,0,0,0
"1620","MIF",0,0,1,1,1,0,1,0,1,1,1
"1621","NCF1",0,0,1,0,0,0,0,0,0,0,0
"1622","COX6B1",0,0,1,1,0,0,0,0,0,0,1
"1623","UQCRB",0,0,1,1,0,1,0,0,0,0,1
"1624","RPL7",0,0,1,1,0,0,1,1,1,1,1
"1625","EIF2AK2",0,0,1,0,1,1,0,0,0,0,0
"1626","TPSB2",0,0,1,0,0,0,0,0,0,0,0
"1627","RAB5A",0,0,1,1,1,0,1,0,1,1,0
"1628","FBL",0,0,1,0,0,0,0,0,0,0,0
"1629","PRKACG",0,0,1,1,0,0,1,0,0,0,1
"1630","RPS3",0,0,1,1,1,0,1,0,1,0,0
"1631","MYL9",0,0,1,1,0,0,0,0,0,0,1
"1632","DNAJB1",0,0,1,0,0,0,0,1,0,0,0
"1633","PTX3",0,0,1,1,0,0,1,0,1,1,0
"1634","VARS1",0,0,1,1,1,1,1,1,0,0,0
"1635","CFP",0,0,1,1,1,0,0,0,0,0,0
"1636","ADSL",0,0,1,0,0,0,0,1,0,0,0
"1637","STX2",0,0,1,1,0,1,1,0,0,0,1
"1638","KDR",0,0,1,0,0,1,1,0,0,0,0
"1639","MAP2K2",0,0,1,0,0,0,0,0,0,0,0
"1640","COL18A1",0,0,1,1,0,0,0,0,1,0,1
"1641","IFI27",0,0,1,0,0,0,0,0,0,0,0
"1642","PSMB10",0,0,1,1,1,0,0,0,1,0,0
"1643","RPL13A",0,0,1,1,0,0,1,1,0,1,1
"1644","DPP6",0,0,1,1,0,0,0,0,0,0,0
"1645","PAFAH1B1",0,0,1,1,0,0,1,1,1,0,1
"1646","MATR3",0,0,1,0,0,1,0,0,0,0,0
"1647","SSR1",0,0,1,1,0,0,1,0,0,1,1
"1648","PSMC4",0,0,1,0,0,1,0,1,0,0,0
"1649","MAP2K4",0,0,1,1,0,0,0,0,0,0,0
"1650","BAG6",0,0,1,0,0,0,0,0,0,0,0
"1651","SLC11A2",0,0,1,1,1,0,1,0,0,0,1
"1652","SULT1A1",0,0,1,0,0,1,1,0,0,0,0
"1653","RAB9A",0,0,1,1,1,1,0,0,0,0,0
"1654","GALK1",0,0,1,0,0,0,1,0,0,0,0
"1655","ALDH3A2",0,0,1,1,0,0,0,1,0,0,0
"1656","GPM6A",0,0,1,0,0,1,0,0,0,0,0
"1657","PRELP",0,0,1,1,0,0,0,0,0,0,0
"1658","SLC7A2",0,0,1,0,0,0,0,0,0,0,0
"1659","AGFG1",0,0,1,0,0,0,0,0,0,0,0
"1660","HNRNPF",0,0,1,0,1,1,0,0,0,0,0
"1661","STAT2",0,0,1,1,1,1,0,0,0,0,0
"1662","BLVRA",0,0,1,0,0,0,1,0,0,0,0
"1663","BCAT1",0,0,1,0,0,1,1,0,1,0,0
"1664","GAS1",0,0,1,1,0,1,0,0,0,1,1
"1665","ADAR",0,0,1,0,0,0,0,0,0,0,0
"1666","EIF3E",0,0,1,1,1,1,0,1,0,0,1
"1667","PRPS1",0,0,1,1,1,1,0,0,0,0,1
"1668","SRP54",0,0,1,0,0,1,0,0,0,0,0
"1669","STXBP1",0,0,1,1,0,0,1,0,0,0,0
"1670","DAD1",0,0,1,1,0,0,0,0,0,1,1
"1671","RPS8",0,0,1,1,1,1,1,1,1,1,1
"1672","SNRPE",0,0,1,0,0,1,0,1,0,0,1
"1673","PSMC6",0,0,1,0,1,0,0,0,0,0,0
"1674","RPS6",0,0,1,0,0,0,1,1,0,0,1
"1675","RPS15",0,0,1,1,0,1,0,1,0,0,0
"1676","DYNLT1",0,0,1,1,1,1,0,0,0,0,1
"1677","RPL38",0,0,1,0,0,1,0,1,0,0,0
"1678","RPL19",0,0,1,0,0,1,1,1,0,1,1
"1679","SRSF3",0,0,1,0,0,0,0,0,0,0,0
"1680","CDC42EP1",0,0,1,0,0,1,1,0,0,0,0
"1681","FMO1",0,0,1,0,0,0,0,0,0,0,0
"1682","PLP2",0,0,1,0,0,0,0,1,1,1,0
"1683","CALD1",0,0,1,0,0,1,1,0,0,0,0
"1684","GFPT1",0,0,1,0,1,1,1,1,0,0,1
"1685","AOX1",0,0,1,1,0,1,1,0,0,0,0
"1686","BAX",0,0,1,1,0,0,0,0,0,0,1
"1687","CD47",0,0,1,1,1,0,1,1,1,1,1
"1688","AIMP1",0,0,1,0,1,0,0,0,0,0,1
"1689","SPP2",0,0,1,0,0,1,0,0,0,0,0
"1690","SELPLG",0,0,1,1,0,0,1,1,1,1,1
"1691","CTTN",0,0,1,0,1,1,1,0,0,0,0
"1692","FASTKD3",0,0,1,0,1,0,0,0,0,0,0
"1693","PTPA",0,0,1,1,0,1,0,0,0,0,0
"1694","PCBP2",0,0,1,1,0,0,1,0,1,0,1
"1695","RHEB",0,0,1,1,1,0,1,0,0,0,1
"1696","TRADD",0,0,1,0,0,1,0,0,0,0,0
"1697","ADRM1",0,0,1,0,0,0,0,1,0,0,0
"1698","PARP14",0,0,1,1,0,1,1,0,0,0,0
"1699","SVEP1",0,0,1,0,0,0,0,0,0,0,0
"1700","COBLL1",0,0,1,0,0,1,1,0,0,0,0
"1701","ARHGAP17",0,0,1,0,1,1,1,0,0,0,0
"1702","RAB12",0,0,1,1,0,0,0,0,0,0,1
"1703","COPS6",0,0,1,0,0,0,0,0,0,0,0
"1704","TTC7B",0,0,1,0,0,0,0,0,0,0,0
"1705","SLC9A9",0,0,1,1,0,0,0,0,0,0,0
"1706","PARP9",0,0,1,0,1,1,1,0,0,0,0
"1707","SPART",0,0,1,0,0,1,0,0,0,0,0
"1708","LRRC47",0,0,1,0,1,1,1,1,0,0,0
"1709","ARHGAP18",0,0,1,1,0,0,1,0,0,0,1
"1710","CCNYL1",0,0,1,0,1,1,1,0,1,1,1
"1711","STEAP2",0,0,1,0,0,0,0,0,0,0,0
"1712","RAB2B",0,0,1,0,0,0,0,0,0,0,0
"1713","LPAR1",0,0,1,0,0,0,0,0,0,0,0
"1714","HTRA1",0,0,1,0,0,0,0,0,1,0,0
"1715","CNRIP1",0,0,1,1,0,0,1,0,0,0,0
"1716","GMPPA",0,0,1,0,0,1,0,0,0,0,0
"1717","IPO9",0,0,1,1,1,1,1,0,0,0,1
"1718","IL4I1",0,0,1,0,0,1,0,0,0,0,0
"1719","RUFY1",0,0,1,0,0,1,0,0,0,0,0
"1720","PSMD1",0,0,1,0,0,1,0,0,0,0,0
"1721","SH3GL1",0,0,1,0,0,0,0,0,0,0,0
"1722","UPK3B",0,0,1,0,1,0,0,0,0,0,0
"1723","BDH2",0,0,1,1,0,1,1,0,0,0,1
"1724","ITPA",0,0,1,0,0,1,0,1,0,0,1
"1725","FN3KRP",0,0,1,0,0,1,0,1,0,0,1
"1726","GLOD4",0,0,1,1,0,1,1,1,0,0,1
"1727","CSNK1G1",0,0,1,1,0,0,1,0,0,0,0
"1728","ABCB6",0,0,1,0,0,0,0,0,0,0,1
"1729","SLC40A1",0,0,1,1,0,1,0,0,0,0,1
"1730","RAB18",0,0,1,1,0,0,0,1,0,0,0
"1731","DYNLRB1",0,0,1,1,0,0,0,0,0,0,1
"1732","PHPT1",0,0,1,0,0,0,1,0,0,0,0
"1733","ATG3",0,0,1,0,0,0,1,0,0,0,0
"1734","ECHDC1",0,0,1,1,0,0,1,0,0,0,0
"1735","PARVA",0,0,1,1,0,0,1,0,0,0,1
"1736","COMMD9",0,0,1,1,0,1,0,0,0,0,0
"1737","NDUFA13",0,0,1,1,0,1,0,0,0,0,1
"1738","ATXN10",0,0,1,0,0,0,1,1,0,0,0
"1739","EPS15L1",0,0,1,0,0,0,1,0,0,0,0
"1740","COPG2",0,0,1,0,0,0,0,0,0,0,0
"1741","TJP2",0,0,1,0,0,0,1,0,0,0,0
"1742","FETUB",0,0,1,1,0,0,0,0,0,0,0
"1743","SRP68",0,0,1,0,0,1,0,0,0,0,0
"1744","XPO7",0,0,1,0,0,1,1,1,0,0,0
"1745","DBNL",0,0,1,0,0,0,1,0,0,0,0
"1746","COPS3",0,0,1,0,0,1,0,1,0,0,0
"1747","TBC1D2B",0,0,1,0,0,0,0,0,0,0,0
"1748","PLAA",0,0,1,0,0,0,0,1,0,0,0
"1749","AKAP2",0,0,1,0,1,1,1,0,0,0,0
"1750","GIT1",0,0,1,0,1,0,0,1,0,1,0
"1751","PLLP",0,0,1,0,0,0,0,0,0,0,0
"1752","FIS1",0,0,1,0,0,0,0,0,0,0,0
"1753","SNX5",0,0,1,0,0,1,0,0,0,0,0
"1754","DYNC1LI1",0,0,1,0,1,0,0,0,0,0,1
"1755","OAS3",0,0,1,0,1,1,0,0,0,0,0
"1756","A0A1B0GV96",0,0,0,1,0,0,0,0,0,0,0
"1757","VPS37C",0,0,0,1,0,0,1,0,0,0,0
"1758","KPNA4",0,0,0,1,0,1,0,1,0,0,0
"1759","HSPB6",0,0,0,1,0,0,0,0,0,0,0
"1760","MRAS",0,0,0,1,0,0,0,0,1,0,0
"1761","ANKRD28",0,0,0,1,1,0,0,0,1,0,0
"1762","BET1",0,0,0,1,0,1,0,0,0,0,0
"1763","PMM2",0,0,0,1,0,1,1,0,0,0,1
"1764","CAPN5",0,0,0,1,1,1,1,1,0,0,1
"1765","CHMP2A",0,0,0,1,0,0,1,1,0,0,0
"1766","USO1",0,0,0,1,0,0,0,1,0,0,0
"1767","TOM1",0,0,0,1,0,0,0,0,0,0,0
"1768","SH3BGRL",0,0,0,1,0,0,1,0,1,1,1
"1769","CS",0,0,0,1,0,0,0,0,0,0,1
"1770","BANF1",0,0,0,1,0,0,1,0,1,1,1
"1771","TOM1L1",0,0,0,1,0,0,0,0,0,0,0
