"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"1079","GOLGA5","GOLGA5","Q8TBA6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1080","TMEM167A","TMEM167A","Q8TBQ9",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1081","RDH11","RDH11","Q8TC12",1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
"1082","STT3B","STT3B","Q8TCJ2",1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1
"1083","HM13","HM13","Q8TCT9",1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0
"1084","PLEKHO2","PLEKHO2","Q8TD55",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"1085","DTX3L","DTX3L","Q8TDB6",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"1086","EPS8L1","EPS8L1","Q8TE68",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"1087","GPX8","GPX8","Q8TED1",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"1088","CEMIP","CEMIP","Q8WUJ3",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"1089","PDCD6IP","PDCD6IP","Q8WUM4",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"1090","LRRN4","LRRN4","Q8WUT4",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0
"1091","SLC44A1","SLC44A1","Q8WWI5",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"1092","GIMAP1","GIMAP1","Q8WWP7",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1093","MUC16","MUC16","Q8WXI7",1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1
"1094","BRI3BP","BRI3BP","Q8WY22",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1095","SMPDL3B","SMPDL3B","Q92485",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"1096","SLC39A7","SLC39A7","Q92504",1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"1097","FAM3C","FAM3C","Q92520",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1098","PSMF1","PSMF1","Q92530",1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
"1099","GBF1","GBF1","Q92538",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1100","NCSTN","NCSTN","Q92542",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"1101","TM9SF4","TM9SF4","Q92544",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"1102","UBXN4","UBXN4","Q92575",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1103","NDRG1","NDRG1","Q92597",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"1104","MYO18A","MYO18A","Q92614",1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
"1105","GCN1","GCN1L1","Q92616",1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
"1106","PXDN","PXDN","Q92626",1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0
"1107","ALG3","ALG3","Q92685",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1108","NECTIN2","PVRL2","Q92692",1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"1109","TFG","TFG","Q92734",1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
"1110","DDX17","DDX17","Q92841",1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"1111","GLG1","GLG1","Q92896",1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
"1112","RAB8B","RAB8B","Q92930",1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
"1113","NINJ1","NINJ1","Q92982",1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
"1114","USP9X","USP9X","Q93008",1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0
"1115","ATP2A3","ATP2A3","Q93084",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"1116","PIGT","PIGT","Q969N2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1117","NCLN","NCLN","Q969V3",1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
"1118","TMBIM1","TMBIM1","Q969X1",1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"1119","ERGIC1","ERGIC1","Q969X5",1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
"1120","FAM162A","FAM162A","Q96A26",1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"1121","CCDC47","CCDC47","Q96A33",1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1
"1122","EXOC4","EXOC4","Q96A65",1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
"1123","FERMT2","FERMT2","Q96AC1",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
"1124","LRRC59","LRRC59","Q96AG4",1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1
"1125","PBXIP1","PBXIP1","Q96AQ6",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"1126","FKBP10","FKBP10","Q96AY3",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1127","AIDA","AIDA","Q96BJ3",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
"1128","ISOC1","ISOC1","Q96CN7",1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
"1129","FAF2","FAF2","Q96CS3",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1
"1130","AP2M1","AP2M1","Q96CW1",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
"1131","KCTD12","KCTD12","Q96CX2",1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0
"1132","HVCN1","HVCN1","Q96D96",1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0
"1133","CYFIP2","CYFIP2","Q96F07",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"1134","CPNE2","CPNE2","Q96FN4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"1135","S100A16","S100A16","Q96FQ6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1136","PGM2","PGM2","Q96G03",1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"1137","RUSF1","C16orf58","Q96GQ5",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"1138","ERO1A","ERO1L","Q96HE7",1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
"1139","DDRGK1","DDRGK1","Q96HY6",1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1
"1140","ABHD14B","ABHD14B","Q96IU4",1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0
"1141","ATP5MK","USMG5","Q96IX5",1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"1142","ITCH","ITCH","Q96J02",1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
"1143","ABCC11","ABCC11","Q96J66",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"1144","TMX3","TMX3","Q96JJ7",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"1145","RNF170","RNF170","Q96K19",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1146","SLC35E1","SLC35E1","Q96K37",1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"1147","TMEM87B","TMEM87B","Q96K49",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"1148","CLPTM1L","CLPTM1L","Q96KA5",1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1149","CNDP2","CNDP2","Q96KP4",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"1150","TRIM47","TRIM47","Q96LD4",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1151","MBOAT7","MBOAT7","Q96N66",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1
"1152","CLIC6","CLIC6","Q96NY7",1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"1153","RBM14","RBM14","Q96PK6",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1154","PLIN4","PLIN4","Q96Q06",1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"1155","SLC38A2","SLC38A2","Q96QD8",1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"1156","VPS35","VPS35","Q96QK1",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
"1157","SNX18","SNX18","Q96RF0",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1158","ERGIC2","ERGIC2","Q96RQ1",1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0
"1159","HMCN1","HMCN1","Q96RW7",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1160","PIGS","PIGS","Q96S52",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"1161","CLCC1","CLCC1","Q96S66",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1162","MYADM","MYADM","Q96S97",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1163","GPX7","GPX7","Q96SL4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1164","CYP2S1","CYP2S1","Q96SQ9",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1165","NIBAN2","FAM129B","Q96TA1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1166","CNN2","CNN2","Q99439",1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0
"1167","SEC62","SEC62","Q99442",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"1168","CD180","CD180","Q99467",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1169","PFDN5","PFDN5","Q99471",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"1170","PARK7","PARK7","Q99497",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1171","SORT1","SORT1","Q99523",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"1172","VAT1","VAT1","Q99536",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"1173","S100A13","S100A13","Q99584",1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
"1174","EIF3C","EIF3C","Q99613",1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0
"1175","PHB2","PHB2","Q99623",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"1176","CHP1","CHP1","Q99653",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"1177","HSD17B10","HSD17B10","Q99714",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1178","COL12A1","COL12A1","Q99715",1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
"1179","MGST2","MGST2","Q99735",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
"1180","TM9SF2","TM9SF2","Q99805",1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
"1181","TSG101","TSG101","Q99816",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"1182","CIB1","CIB1","Q99828",1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0
"1183","CPNE1","CPNE1","Q99829",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
"1184","CCT7","CCT7","Q99832",1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0
"1185","RARRES2","RARRES2","Q99969",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"1186","CYBC1","C17orf62","Q9BQA9",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1187","APOL2","APOL2","Q9BQE5",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"1188","SDF4","SDF4","Q9BRK5",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1189","ADPGK","ADPGK","Q9BRR6",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
"1190","PRXL2A","FAM213A","Q9BRX8",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
"1191","ERP44","ERP44","Q9BS26",1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1
"1192","LXN","LXN","Q9BS40",1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
"1193","ESYT1","ESYT1","Q9BSJ8",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"1194","CCM2","CCM2","Q9BSQ5",1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
"1195","CNPY3","CNPY3","Q9BT09",1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"1196","ALG1","ALG1","Q9BT22",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"1197","LRRC1","LRRC1","Q9BTT6",1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
"1198","TMEM43","TMEM43","Q9BTV4",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"1199","TUBB6","TUBB6","Q9BUF5",1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"1200","PDCD10","PDCD10","Q9BUL8",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
"1201","DERL1","DERL1","Q9BUN8",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1202","WDR18","WDR18","Q9BV38",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"1203","VAMP8","VAMP8","Q9BV40",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"1204","TMED9","TMED9","Q9BVK6",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"1205","ELOVL1","ELOVL1","Q9BW60",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"1206","SFXN3","SFXN3","Q9BWM7",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"1207","YIPF2","YIPF2","Q9BWQ6",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1208","CHID1","CHID1","Q9BWS9",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"1209","TAPBPL","TAPBPL","Q9BX59",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1210","TBC1D10A","TBC1D10A","Q9BXI6",1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0
"1211","CFHR5","CFHR5","Q9BXR6",1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0
"1212","EMILIN2","EMILIN2","Q9BXX0",1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0
"1213","SEC11C","SEC11C","Q9BY50",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1214","RAB34","RAB34","Q9BZG1",1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
"1215","NIBAN1","FAM129A","Q9BZQ8",1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
"1216","UBXN6","UBXN6","Q9BZV1",1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
"1217","SLC19A3","SLC19A3","Q9BZV2",1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"1218","TTYH3","TTYH3","Q9C0H2",1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0
"1219","SLC39A8","SLC39A8","Q9C0K1",1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
"1220","MAGT1","MAGT1","Q9H0U3",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1221","RAB1B","RAB1B","Q9H0U4",1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"1222","LMAN2L","LMAN2L","Q9H0V9",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
"1223","TMX4","TMX4","Q9H1E5",1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"1224","EHD4","EHD4","Q9H223",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"1225","SH3BGRL3","SH3BGRL3","Q9H299",1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"1226","SLK","SLK","Q9H2G2",1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
"1227","RAB3GAP2","RAB3GAP2","Q9H2M9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1228","TXNIP","TXNIP","Q9H3M7",1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0
"1229","TMX1","TMX1","Q9H3N1",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"1230","DNAJC5","DNAJC5","Q9H3Z4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1231","POFUT1","POFUT1","Q9H488",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"1232","RNPEP","RNPEP","Q9H4A4",1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0
"1233","EPB41L1","EPB41L1","Q9H4G0",1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"1234","GLIPR2","GLIPR2","Q9H4G4",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"1235","EHD1","EHD1","Q9H4M9",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"1236","ALG2","ALG2","Q9H553",1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"1237","CCDC134","CCDC134","Q9H6E4",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1238","METTL7A","METTL7A","Q9H8H3",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"1239","SFXN1","SFXN1","Q9H9B4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1240","VPS37B","VPS37B","Q9H9H4",1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"1241","SLC28A3","SLC28A3","Q9HAS3",1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
"1242","GNB4","GNB4","Q9HAV0",1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
"1243","RDH14","RDH14","Q9HBH5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1244","TMEM165","TMEM165","Q9HC07",1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
"1245","PLXNA4","PLXNA4","Q9HCM2",1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"1246","CD248","CD248","Q9HCU0",1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"1247","PREB","PREB","Q9HCU5",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"1248","ATP13A1","ATP13A1","Q9HD20",1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
"1249","TM9SF3","TM9SF3","Q9HD45",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"1250","VTA1","VTA1","Q9NP79",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"1251","PLCB1","PLCB1","Q9NQ66",1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0
"1252","GPRC5C","GPRC5C","Q9NQ84",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"1253","RTN4","RTN4","Q9NQC3",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"1254","SAR1A","SAR1A","Q9NR31",1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
"1255","MXRA5","MXRA5","Q9NR99",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"1256","OSTC","OSTC","Q9NRP0",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
"1257","HEBP1","HEBP1","Q9NRV9",1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0
"1258","RAB6B","RAB6B","Q9NRW1",1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0
"1259","APOBEC3C","APOBEC3C","Q9NRW3",1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"1260","VPS45","VPS45","Q9NRW7",1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"1261","PLSCR3","PLSCR3","Q9NRY6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1262","TOMM22","TOMM22","Q9NS69",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1263","SACM1L","SACM1L","Q9NTJ5",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"1264","OLA1","OLA1","Q9NTK5",1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0
"1265","LMBRD1","LMBRD1","Q9NUN5",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"1266","LIN7C","LIN7C","Q9NUP9",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"1267","UFSP2","UFSP2","Q9NUQ7",1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
"1268","CYRIB","FAM49B","Q9NUQ9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1269","GIMAP4","GIMAP4","Q9NUV9",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1270","SEPTIN11","SEPT11","Q9NVA2",1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
"1271","ARL8B","ARL8B","Q9NVJ2",1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
"1272","ANO10","ANO10","Q9NW15",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1273","OCIAD1","OCIAD1","Q9NX40",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1274","MARCHF5","MARCH5","Q9NX47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1275","TEX10","TEX10","Q9NXF1",1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"1276","STAB1","STAB1","Q9NY15",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"1277","CLDND1","CLDND1","Q9NY35",1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0
"1278","SMPD3","SMPD3","Q9NY59",1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
"1279","FKBP11","FKBP11","Q9NYL4",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"1280","BET1L","BET1L","Q9NYM9",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1281","UGGT1","UGGT1","Q9NYU2",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"1282","TECR","TECR","Q9NZ01",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"1283","ERAP1","ERAP1","Q9NZ08",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0
"1284","CISD1","CISD1","Q9NZ45",1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0
"1285","CLIC5","CLIC5","Q9NZA1",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"1286","FAM120A","FAM120A","Q9NZB2",1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"1287","GPRC5B","GPRC5B","Q9NZH0",1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
"1288","MYOF","MYOF","Q9NZM1",1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0
"1289","EHD2","EHD2","Q9NZN4",1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0
"1290","CNIH4","CNIH4","Q9P003",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"1291","HACD3","HACD3","Q9P035",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1
"1292","EMC3","EMC3","Q9P0I2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1293","VAPA","VAPA","Q9P0L0",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"1294","ORMDL1","ORMDL1","Q9P0S3",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"1295","SH3BP4","SH3BP4","Q9P0V3",1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0
"1296","ABI3","ABI3","Q9P2A4",1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"1297","PTGFRN","PTGFRN","Q9P2B2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"1298","RRBP1","RRBP1","Q9P2E9",1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0
"1299","LARS1","LARS","Q9P2J5",1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
"1300","ANKFY1","ANKFY1","Q9P2R3",1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0
"1301","STX18","STX18","Q9P2W9",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1302","MRC2","MRC2","Q9UBG0",1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"1303","GNG12","GNG12","Q9UBI6",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"1304","DHCR7","DHCR7","Q9UBM7",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"1305","VPS29","VPS29","Q9UBQ0",1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
"1306","EXTL2","EXTL2","Q9UBQ6",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1307","DNAJB11","DNAJB11","Q9UBS4",1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1
"1308","SEL1L","SEL1L","Q9UBV2",1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
"1309","PEF1","PEF1","Q9UBV8",1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
"1310","VTI1B","VTI1B","Q9UEU0",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"1311","CD300A","CD300A","Q9UGN4",1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"1312","SEC63","SEC63","Q9UGP8",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1313","SUSD2","SUSD2","Q9UGT4",1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0
"1314","NDRG3","NDRG3","Q9UGV2",1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
"1315","LAMTOR3","LAMTOR3","Q9UHA4",1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"1316","LIMA1","LIMA1","Q9UHB6",1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
"1317","SEPTIN9","SEPT9","Q9UHD8",1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0
"1318","STEAP1","STEAP1","Q9UHE8",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
"1319","BCAP29","BCAP29","Q9UHQ4",1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"1320","BAIAP2L1","BAIAP2L1","Q9UHR4",1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
"1321","ATP6V1H","ATP6V1H","Q9UI12",1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0
"1322","LNPEP","LNPEP","Q9UIQ6",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"1323","PLXNA1","PLXNA1","Q9UIW2",1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
"1324","NAGK","NAGK","Q9UJ70",1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0
"1325","SLC25A13","SLC25A13","Q9UJS0",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1326","STOML2","STOML2","Q9UJZ1",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1327","VPS28","VPS28","Q9UK41",1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
"1328","PILRA","PILRA","Q9UKJ1",1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"1329","PARP4","PARP4","Q9UKK3",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"1330","MAN1B1","MAN1B1","Q9UKM7",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1331","RAB21","RAB21","Q9UL25",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
