"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1884","EIF2S3","EIF2S3","P41091",61624,0,76188,131170,0
"1885","EIF2D","EIF2D","P41214",0,0,0,0,0
"1886","CD200","CD200","P41217",24862,238120,0,2005100,0
"1887","MNDA","MNDA","P41218",0,0,0,0,0
"1888","WNT5A","WNT5A","P41221",0,0,0,0,0
"1889","PTGDS","PTGDS","P41222",0,0,0,0,0
"1890","UBA7","UBA7","P41226",9569.5,0,0,0,0
"1891","CSK","CSK","P41240",0,0,0,42622,0
"1892","GARS1","GARS","P41250",138060,0,181220,74613,0
"1893","IARS1","IARS","P41252",307340,0,526840,0,0
"1894","FOLR3","FOLR3","P41439",0,0,0,0,0
"1895","EIF1","EIF1","P41567",0,0,0,342890,0
"1896","CCR2","CCR2","P41597",0,0,0,0,0
"1897","TSPAN7","TSPAN7","P41732",0,0,0,0,0
"1898","PRKCI","PRKCI","P41743",6685.3,0,0,2279200,0
"1899","ACTR1B","ACTR1B","P42025",70967,0,181680,49145,0
"1900","CD86","CD86","P42081",0,0,0,0,0
"1901","ECI1","ECI1","P42126",0,0,0,0,0
"1902","TMPO","TMPO","P42166",0,0,0,0,0
"1903","STAT1","STAT1","P42224",35810,0,38724,230400,0
"1904","STAT6","STAT6","P42226",0,0,0,142130,0
"1905","STAT5A","STAT5A","P42229",0,0,0,38817,0
"1906","GRIA2","GRIA2","P42262",0,0,0,0,0
"1907","MTREX","SKIV2L2","P42285",0,0,0,0,0
"1908","AKR1C3","AKR1C3","P42330",0,0,0,334990,0
"1909","ARHGAP25","ARHGAP25","P42331",0,0,0,0,0
"1910","PIK3CA","PIK3CA","P42336",0,0,0,54042,0
"1911","MTOR","MTOR","P42345",10842,0,0,167380,0
"1912","PI4KA","PI4KA","P42356",197100,0,46525,1500400,0
"1913","EPS15","EPS15","P42566",0,0,0,0,0
"1914","CASP3","CASP3","P42574",0,0,0,0,0
"1915","DPP6","DPP6","P42658",0,0,0,158160,0
"1916","RPS27","RPS27","P42677",54610,0,32583,0,0
"1917","FRK","FRK","P42685",0,12648,0,4640500,0
"1918","LRPPRC","LRPPRC","P42704",48443,0,0,0,0
"1919","ACAA2","ACAA2","P42765",0,0,0,0,0
"1920","RPL35","RPL35","P42766",0,0,0,0,0
"1921","WAS","WAS","P42768",0,0,0,0,0
"1922","CDKN2A","CDKN2A","P42771",0,0,0,0,0
"1923","PRCP","PRCP","P42785",0,0,0,13339,0
"1924","HTT","HTT","P42858",6736.7,0,34176,0,52061
"1925","ECE1","ECE1","P42892",428330,0,2074200,0,0
"1926","SLC1A3","SLC1A3","P43003",0,0,0,224720,0
"1927","SLC1A1","SLC1A1","P43005",0,0,0,912180,0
"1928","SLC1A4","SLC1A4","P43007",1069000,0,1636000,0,0
"1929","PAFAH1B1","PAFAH1B1","P43034",159350,0,139880,231660,0
"1930","PTGER2","PTGER2","P43116",0,0,0,87755,0
"1931","MCAM","MCAM","P43121",9934,0,0,0,0
"1932","CRAT","CRAT","P43155",0,0,0,0,0
"1933","MATR3","MATR3","P43243",1284.8,0,0,0,0
"1934","MSH2","MSH2","P43246",0,0,0,0,0
