"","Suggested.Symbol","ID","cut_sec","p.value_sec","HR_sec","LCL_sec","UCL_sec","adj.p.val_sec","cut_uc","p.value_uc","HR_uc","LCL_uc","UCL_uc","adj.p.val_uc"
"50","SLC2A5","P22732",64715,0.0386739087172543,0.142919997733152,0.0173130411196069,1.17981154269377,0.180891765684357,602760,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"51","MRC1","P22897",82229,0.00156540225800261,7.5805574842845e-10,0,Inf,0.0409613590844017,197120,0.000437578021208251,2.27214639864333e-10,0,Inf,0.00396400249203887
"52","PTPRE","P23469",19798,0.59928878038224,0.652664395983267,0.131437808555187,3.24085450348444,0.676894521726703,961540,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"53","FAS","P25445",40723.5,0.0132245533416515,0.147223959754561,0.0260981967554319,0.830513101304645,0.148303919617092,961435,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"54","ITGB8","P26012",107895,0.0266238999494781,6.90902018849756,0.957121901942944,49.8730202163031,0.180891765684357,1462080,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"55","NDUFS1","P28331",144465,0.129233102759863,0.214838164834112,0.0251389077958961,1.83601600531046,0.317311202634681,71582,0.00301854800296708,3.98331926634991e-10,0,Inf,0.00718048540099745
"56","GRN","P28799",12966,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,44033,0.00883602098394842,0.0908475939161585,0.0105756940830668,0.780401291445248,0.017126608573826
"57","EEF1D","P29692",13344,0.106724573970473,0.308364538574792,0.0681460377562498,1.39536635997188,0.316146379497437,269170,0.0370724637477517,5.55230990775669,0.911823957809955,33.809317081136,0.052912516439973
"58","SDHA","P31040",93521.5,0.367690535861021,2.09935956997959,0.403132385241759,10.9326632277926,0.461819313041442,112065,0.428030585088399,1.75356337267913,0.429941287641623,7.15210329966021,0.428030585088399
"59","UQCRC1","P31930",227445,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,87477,0.005239568708446,0.082168666608791,0.00927236042206972,0.728152214208212,0.0119219172061742
"60","FCGR2B","P31994",114693.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,529545,0.0721384254588808,0.275611524230063,0.0625010889778018,1.21536622050533,0.0898867682305102
"61","LSP1","P33241",9032.5,0.0778623450700624,0.258504328442293,0.05136602555279,1.30094721373224,0.249477309714282,65377.5,0.0794221358653439,0.223632968932135,0.0361808837943084,1.38226874384059,0.0966610490764262
"62","CD68","P34810",16525.5,0.00156540225800261,7.5805574842845e-10,0,Inf,0.0409613590844017,192940,0.0123569338426434,0.15149858618011,0.0289568377249125,0.792621826755139,0.0225585885266861
"63","ADD2","P35612",241520,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,155355,0.0431743484596587,0.141784367864426,0.0165346565805465,1.21579827635286,0.060521184894343
"64","FUS","P35637",45564.5,0.353128922948805,2.79621428287191,0.289766444834726,26.9831599038201,0.461819313041442,34068,0.0366353811928135,7.35551496122797,0.863494520598804,62.656564754261,0.052768393094236
